region,provincia,comuna,dc,nom_distrito,hombre_18-19,hombre_20-24,hombre_25-29,hombre_30-34,hombre_35-39,hombre_40-44,hombre_45-49,hombre_50-54,hombre_55-59,hombre_60-64,hombre_65-69,hombre_70-74,hombre_75-79,hombre_80-84,mujer_18-19,mujer_20-24,mujer_25-29,mujer_30-34,mujer_35-39,mujer_40-44,mujer_45-49,mujer_50-54,mujer_55-59,mujer_60-64,mujer_65-69,mujer_70-74,mujer_75-79,mujer_80-84,hombre_18-19,hombre_20-24,hombre_25-29,hombre_30-34,hombre_35-39,hombre_40-44,hombre_45-49,hombre_50-54,hombre_55-59,hombre_60-64,hombre_65-69,hombre_70-74,hombre_75-79,hombre_80-84,mujer_18-19,mujer_20-24,mujer_25-29,mujer_30-34,mujer_35-39,mujer_40-44,mujer_45-49,mujer_50-54,mujer_55-59,mujer_60-64,mujer_65-69,mujer_70-74,mujer_75-79,mujer_80-84,hombre_18-19,hombre_20-24,hombre_25-29,hombre_30-34,hombre_35-39,hombre_40-44,hombre_45-49,hombre_50-54,hombre_55-59,hombre_60-64,hombre_65-69,hombre_70-74,hombre_75-79,hombre_80-84,mujer_18-19,mujer_20-24,mujer_25-29,mujer_30-34,mujer_35-39,mujer_40-44,mujer_45-49,mujer_50-54,mujer_55-59,mujer_60-64,mujer_65-69,mujer_70-74,mujer_75-79,mujer_80-84
13,131,13101,23,CLUB HÍPICO,52,169,189,145,126,115,112,124,102,71,59,46,29,20,33,137,133,107,121,120,110,127,115,86,72,47,48,49,52,169,189,145,126,115,112,124,102,71,59,46,29,20,33,137,133,107,121,120,110,127,115,86,72,47,48,49,52,169,189,145,126,115,112,124,102,71,59,46,29,20,33,137,133,107,121,120,110,127,115,86,72,47,48,49
13,131,13101,24,SAN EUGENIO,110,322,369,319,291,229,246,233,236,196,149,137,103,48,85,314,326,305,252,248,246,280,280,218,180,194,140,103,110,322,369,319,291,229,246,233,236,196,149,137,103,48,85,314,326,305,252,248,246,280,280,218,180,194,140,103,110,322,369,319,291,229,246,233,236,196,149,137,103,48,85,314,326,305,252,248,246,280,280,218,180,194,140,103
13,131,13101,25,EXPOSICIÓN,67,256,282,262,181,192,134,148,139,96,86,68,40,35,62,219,243,192,152,153,143,136,133,115,97,76,62,69,67,256,282,262,181,192,134,148,139,96,86,68,40,35,62,219,243,192,152,153,143,136,133,115,97,76,62,69,67,256,282,262,181,192,134,148,139,96,86,68,40,35,62,219,243,192,152,153,143,136,133,115,97,76,62,69
13,131,13101,26,SAN ALFONSO,41,158,172,181,137,134,109,87,67,42,32,14,15,5,33,115,143,132,137,126,100,78,72,34,30,20,22,21,41,158,172,181,137,134,109,87,67,42,32,14,15,5,33,115,143,132,137,126,100,78,72,34,30,20,22,21,41,158,172,181,137,134,109,87,67,42,32,14,15,5,33,115,143,132,137,126,100,78,72,34,30,20,22,21
13,131,13101,27,AVENIDA ESPAÑA,219,759,999,831,691,517,404,363,278,201,134,100,75,49,207,695,854,740,616,529,435,390,332,273,190,169,139,82,219,759,999,831,691,517,404,363,278,201,134,100,75,49,207,695,854,740,616,529,435,390,332,273,190,169,139,82,219,759,999,831,691,517,404,363,278,201,134,100,75,49,207,695,854,740,616,529,435,390,332,273,190,169,139,82
13,131,13101,28,EJÉRCITO,214,706,1094,1081,782,540,361,340,246,199,122,110,57,33,216,719,1123,966,700,517,385,355,330,224,198,145,103,80,214,706,1094,1081,782,540,361,340,246,199,122,110,57,33,216,719,1123,966,700,517,385,355,330,224,198,145,103,80,214,706,1094,1081,782,540,361,340,246,199,122,110,57,33,216,719,1123,966,700,517,385,355,330,224,198,145,103,80
13,131,13101,29,QUINTA NORMAL,18,26,30,51,48,45,31,18,11,6,8,3,3,,12,22,36,49,52,42,33,17,12,9,4,3,4,3,18,26,30,51,48,45,31,18,11,6,8,3,3,,12,22,36,49,52,42,33,17,12,9,4,3,4,3,18,26,30,51,48,45,31,18,11,6,8,3,3,,12,22,36,49,52,42,33,17,12,9,4,3,4,3
13,131,13102,1,CERRILLOS,202,504,467,589,740,768,590,471,343,245,176,133,93,65,196,477,489,700,817,699,543,424,330,277,223,175,158,100,202,504,467,589,740,768,590,471,343,245,176,133,93,65,196,477,489,700,817,699,543,424,330,277,223,175,158,100,202,504,467,589,740,768,590,471,343,245,176,133,93,65,196,477,489,700,817,699,543,424,330,277,223,175,158,100
13,131,13102,2,VILLA MÉXICO,151,433,470,359,319,325,371,401,320,230,223,201,155,108,146,384,416,334,317,374,381,428,357,289,301,336,267,176,151,433,470,359,319,325,371,401,320,230,223,201,155,108,146,384,416,334,317,374,381,428,357,289,301,336,267,176,151,433,470,359,319,325,371,401,320,230,223,201,155,108,146,384,416,334,317,374,381,428,357,289,301,336,267,176
13,131,13102,3,DIVINO MAESTRO,412,1117,1146,996,849,930,869,897,745,596,561,466,297,181,456,1084,1104,925,871,919,900,963,850,734,666,626,439,245,412,1117,1146,996,849,930,869,897,745,596,561,466,297,181,456,1084,1104,925,871,919,900,963,850,734,666,626,439,245,412,1117,1146,996,849,930,869,897,745,596,561,466,297,181,456,1084,1104,925,871,919,900,963,850,734,666,626,439,245
13,131,13102,4,LO ERRÁZURIZ,304,1012,939,741,619,648,645,715,603,490,322,216,159,76,317,965,954,748,680,713,776,881,775,605,391,311,244,167,304,1012,939,741,619,648,645,715,603,490,322,216,159,76,317,965,954,748,680,713,776,881,775,605,391,311,244,167,304,1012,939,741,619,648,645,715,603,490,322,216,159,76,317,965,954,748,680,713,776,881,775,605,391,311,244,167
13,131,13103,1,CERRO NAVIA,317,853,876,701,575,663,661,714,560,453,342,309,196,103,307,870,789,658,571,639,671,748,569,463,425,371,289,166,317,853,876,701,575,663,661,714,560,453,342,309,196,103,307,870,789,658,571,639,671,748,569,463,425,371,289,166,317,853,876,701,575,663,661,714,560,453,342,309,196,103,307,870,789,658,571,639,671,748,569,463,425,371,289,166
13,131,13103,2,JANEQUEO,218,726,724,545,524,482,507,612,487,319,294,253,198,116,205,653,650,506,453,496,553,645,474,376,356,299,250,197,218,726,724,545,524,482,507,612,487,319,294,253,198,116,205,653,650,506,453,496,553,645,474,376,356,299,250,197,218,726,724,545,524,482,507,612,487,319,294,253,198,116,205,653,650,506,453,496,553,645,474,376,356,299,250,197
